name,year,rating,american_made,emmys_won,seasons_count,total_episode_count,animated_or_liveAction_01
Loki,2021,3,1,0,2,12,1
Frieren: Beyond Journey's End,2023,4,0,0,1,28,0
Chernobyl,2019,5,1,10,1,5,1
Your Lie in April,2014,5,0,0,1,22,0
Andor,2022,5,1,5,2,24,1
The Penguin,2024,5,1,9,1,8,1
Game of Thrones,2011,5,1,59,8,73,1
Arcane,2021,5,0,8,2,18,0
Attack on Titan,2013,5,0,0,4,94,0
Star Wars: The Clone Wars,2008,4,1,0,7,133,0
Death Note,2006,5,0,0,1,37,0
Star Wars: Rebels,2014,4,1,0,4,75,0
Naruto: Shonen Jump,2002,3,0,0,5,220,0
Naruto: Shipuden,2007,4,0,0,21,500,0
Boruto,2017,3,0,0,1,293,0
Peaky Blinders,2013,5,1,0,6,36,1
Ted Lasso,2020,4,1,13,3,34,1
Solo Leveling,2024,4,0,0,1,12,0
Full Metal Alchemist: Brotherhood,2009,4,0,0,1,64,0
Severance,2022,4,1,10,2,19,1
Demon Slayer,2019,4,0,0,4,63,0
Shogun,2024,4,1,0,1,10,1
The Last of Us,2023,4,1,8,2,16,1
The Crowded Room,2023,4,1,0,1,10,1
Invincible,2021,4,1,0,3,24,0
Fallout,2024,4,1,2,1,8,1
Star Wars: Clone Wars (2003),2003,3,1,0,2,25,0
Star Wars: Ahsoka,2023,3,1,0,1,8,1
Star Wars: The Mandalorian,2019,4,1,15,3,24,1
Dare Devil: Born Again,2025,3,1,0,1,9,1
Star Wars: Tales of the Jedi,2022,4,1,0,1,6,0
The Promised Neverland,2019,3,0,0,2,23,0
Erased,2016,4,0,0,1,12,0
Presumed Innocent,2024,3,1,0,1,8,1
Masters of the Air,2024,3,1,0,1,9,1
Star Wars: Obi-Wan Kenobi,2022,3,1,0,1,6,1
Star Wars: Skeleton Crew,2024,3,1,0,1,8,1
Star Wars: The Bad Batch,2021,3,1,0,3,47,0
Star Wars: The Book of Boba Fett,2021,1,1,0,1,7,1
Creature Commandos,2024,3,1,0,1,7,0
Jujutsu Kaisen,2020,3,0,0,2,47,0
Star Wars: Visions,2021,3,0,0,2,18,0
Star Wars: Tales of the Empire,2024,2,1,0,1,6,0
Star Wars: Acolyte,2024,1,1,0,1,8,1
Breaking Bad,2008,5,1,16,5,62,1